5s | 27.78 C
10s | 32.37 C
15s | 40.94 C
20s | 51.68 C
25s | 64.12 C
30s | 77.06 C
35s | 90.73 C
40s | 103.88 C
45s | 116.95 C
50s | 129.49 C
55s | 142.76 C
60s | 154.97 C
65s | 166.44 C
70s | 178.44 C
75s | 188.42 C
80s | 199.99 C
85s | 209.48 C
90s | 217.32 C
95s | 226.53 C
100s | 232.59 C
105s | 239.41 C
110s | 247.16 C
115s | 251.48 C
120s | 258.63 C
125s | 261.21 C
130s | 266.76 C
135s | 272.86 C
140s | 272.86 C
145s | 279.64 C
150s | 279.64 C
155s | 279.64 C
160s | 287.25 C
165s | 287.25 C
170s | 291.43 C
175s | 287.25 C
180s | 287.25 C
185s | 295.89 C
190s | 291.43 C
195s | 295.89 C
200s | 295.89 C
205s | 295.89 C
210s | 300.68 C
215s | 295.89 C
220s | 300.68 C
225s | 300.68 C
230s | 300.68 C
235s | 300.68 C
240s | 300.68 C
